"","Author","Quote"
"1","Thomas Edison","Genius is one percent inspiration and ninety-nine percent perspiration."
"2","Yogi Berra","You can observe a lot just by watching."
"3","Abraham Lincoln","A house divided against itself cannot stand."
"4","Johann Wolfgang von Goethe","Difficulties increase the nearer we get to the goal."
"5","Byron Pulsifer","Fate is in your hands and no one elses"
"6","Lao Tzu","Be the chief but never the lord."
"7","Carl Sandburg","Nothing happens unless first we dream."
"8","Aristotle","Well begun is half done."
"9","Yogi Berra","Life is a learning experience, only if you learn."
"10","Margaret Sangster","Self-complacency is fatal to progress."
"11","Buddha","Peace comes from within. Do not seek it without."
"12","Byron Pulsifer","What you give is what you get."
"13","Iris Murdoch","We can only learn to love by loving."
"14","Karen Clark","Life is change. Growth is optional. Choose wisely."
"15","Wayne Dyer","You'll see it when you believe it."
"16","Unknown","Today is the tomorrow we worried about yesterday."
"17","Unknown","It's easier to see the mistakes on someone else's paper."
"18","Unknown","Every man dies. Not every man really lives."
"19","Lao Tzu","To lead people walk behind them."
"20","William Shakespeare","Having nothing, nothing can he lose."
"21","Henry J. Kaiser","Trouble is only opportunity in work clothes."
"22","Publilius Syrus","A rolling stone gathers no moss."
"23","Napoleon Hill","Ideas are the beginning points of all fortunes."
"24","Lao Tzu","Doing nothing is better than being busy doing nothing."
"25","Benjamin Spock","Trust yourself. You know more than you think you do."
"26","Confucius","Study the past, if you would divine the future."
"27","Unknown","The day is already blessed, find peace within it."
"28","Sigmund Freud","From error to error one discovers the entire truth."
"29","Benjamin Franklin","Well done is better than well said."
"30","Ella Williams","Bite off more than you can chew, then chew it."
"31","Buddha","Work out your own salvation. Do not depend on others."
"32","Benjamin Franklin","One today is worth two tomorrows."
"33","Christopher Reeve","Once you choose hope, anythings possible."
"34","Albert Einstein","God always takes the simplest way."
"35","Charles Kettering","One fails forward toward success."
"36","Unknown","From small beginnings come great things."
"37","Chinese proverb","Learning is a treasure that will follow its owner everywhere"
"38","Socrates","Be as you wish to seem."
"39","V. Naipaul","The world is always in movement."
"40","John Wooden","Never mistake activity for achievement."
"41","Haddon Robinson","What worries you masters you."
"42","Pearl Buck","One faces the future with ones past."
"43","Brian Tracy","Goals are the fuel in the furnace of achievement."
"44","Leonardo da Vinci","Who sows virtue reaps honour."
"45","Dalai Lama","Be kind whenever possible. It is always possible."
"46","Chinese proverb","Talk doesn't cook rice."
"47","Buddha","He is able who thinks he is able."
"48","Larry Elder","A goal without a plan is just a wish."
"49","Michael Korda","To succeed, we must first believe that we can."
"50","Albert Einstein","Learn from yesterday, live for today, hope for tomorrow."
"51","James Lowell","A weed is no more than a flower in disguise."
"52","Yoda","Do, or do not. There is no try."
"53","Harriet Beecher Stowe","All serious daring starts from within."
"54","Byron Pulsifer","The best teacher is experience learned from failures."
"55","Murray Gell-Mann","Think how hard physics would be if particles could think."
"56","John Lennon","Love is the flower you've got to let grow."
"57","Napoleon Hill","Don't wait. The time will never be just right."
"58","Pericles","Time is the wisest counsellor of all."
"59","Napoleon Hill","You give before you get."
"60","Socrates","Wisdom begins in wonder."
"61","Baltasar Gracian","Without courage, wisdom bears no fruit."
"62","Aristotle","Change in all things is sweet."
"63","Byron Pulsifer","What you fear is that which requires action to overcome."
"64","Cullen Hightower","When performance exceeds ambition, the overlap is called success."
"65","African proverb","When deeds speak, words are nothing."
"66","Wayne Dyer","Real magic in relationships means an absence of judgement of others."
"67","Albert Einstein","I never think of the future. It comes soon enough."
"68","Ralph Emerson","Skill to do comes of doing."
"69","Sophocles","Wisdom is the supreme part of happiness."
"70","Maya Angelou","I believe that every person is born with talent."
"71","Abraham Lincoln","Important principles may, and must, be inflexible."
"72","Richard Evans","The undertaking of a new action brings new strength."
"73","Ralph Emerson","The years teach much which the days never know."
"74","Ralph Emerson","Our distrust is very expensive."
"75","Bodhidharma","All know the way; few actually walk it."
"76","Johann Wolfgang von Goethe","Great talent finds happiness in execution."
"77","Michelangelo","Faith in oneself is the best and safest course."
"78","Winston Churchill","Courage is going from failure to failure without losing enthusiasm."
"79","Leo Tolstoy","The two most powerful warriors are patience and time."
"80","Lao Tzu","Anticipate the difficult by managing the easy."
"81","Buddha","Those who are free of resentful thoughts surely find peace."
"82","Sophocles","A short saying often contains much wisdom."
"83","Unknown","It takes both sunshine and rain to make a rainbow."
"84","Unknown","A beautiful thing is never perfect."
"85","Princess Diana","Only do what your heart tells you."
"86","John Pierrakos","Life is movement-we breathe, we eat, we walk, we move!"
"87","Eleanor Roosevelt","No one can make you feel inferior without your consent."
"88","Richard Bach","Argue for your limitations, and sure enough theyre yours."
"89","Seneca","Luck is what happens when preparation meets opportunity."
"90","Napoleon Bonaparte","Victory belongs to the most persevering."
"91","William Shakespeare","Love all, trust a few, do wrong to none."
"92","Richard Bach","In order to win, you must expect to win."
"93","Napoleon Hill","A goal is a dream with a deadline."
"94","Napoleon Hill","You can do it if you believe you can!"
"95","Bo Jackson","Set your goals high, and don't stop till you get there."
"96","Unknown","Every new day is another chance to change your life."
"97","Thich Nhat Hanh","Smile, breathe, and go slowly."
"98","Liberace","Nobody will believe in you unless you believe in yourself."
"99","William Arthur Ward","Do more than dream: work."
"100","Seneca","No man was ever wise by chance."
"101","Unknown","Some pursue happiness, others create it."
"102","William Shakespeare","He that is giddy thinks the world turns round."
"103","Ellen Gilchrist","Don't ruin the present with the ruined past."
"104","Albert Schweitzer","Do something wonderful, people may imitate it."
"105","Unknown","We do what we do because we believe."
"106","Eleanor Roosevelt","Do one thing every day that scares you."
"107","Byron Pulsifer","If you cannot be silent be brilliant and thoughtful."
"108","Carl Jung","Who looks outside, dreams; who looks inside, awakes."
"109","Buddha","What we think, we become."
"110","Lord Herbert","The shortest answer is doing."
"111","Leonardo da Vinci","All our knowledge has its origins in our perceptions."
"112","Unknown","The harder you fall, the higher you bounce."
"113","Anne Wilson Schaef","Trusting our intuition often saves us from disaster."
"114","Sojourner Truth","Truth is powerful and it prevails."
